State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon
NY,New York,New York,3651000,8175133,5.3,10.5,5.6,5.9,12.3,12.2,40.69496069,-73.93138504
CA,Los Angeles,Los Angeles,644000,3792621,4.9,8.5,4.9,5.3,12.9,12.8,34.11822779,-118.4085001
IL,Chicago,Chicago,1714000,2695598,5,9.9,5.3,5.8,12.2,12.4,41.83729506,-87.68623087
TX,Houston,Houston,4835000,2099451,4.8,8.8,5.6,5.6,13,12.9,29.78066914,-95.3860034
PA,Philadelphia,Philadelphia,4260000,1526006,5.4,11.6,6.3,7,15.3,14.6,40.00931478,-75.13338886
AZ,Phoenix,Phoenix,455000,1445632,5.2,10.3,5.5,6.1,13.9,13.6,33.57241387,-112.0889952
TX,San Antonio,San Antonio,4865000,1327407,4.9,8.4,5.9,5.4,12.5,14.1,29.47214753,-98.52467635
CA,San Diego,San Diego,666000,1307402,5,8,4.4,4.3,11.6,9.8,32.83556394,-117.1197921
TX,Dallas,Dallas,4819000,1197816,4.8,9.4,5.6,5.8,13.2,12.8,32.79398041,-96.76569295
HI,Honolulu,Honolulu,71550,953207,5.5,9.5,5,4.1,9.6,9.4,21.45880393,-157.9732967
CA,San Jose,San Francisco,668000,945942,4.9,7.8,4.3,4,10.2,9.9,37.30039632,-121.8472284
FL,Jacksonville,Jacksonville,1235000,821784,5.9,8.3,6.3,7.6,13.8,13.4,30.33198201,-81.67522662
IN,Indianapolis,Indianapolis,1836003,820445,5.7,10.9,6.4,7.4,14.1,13.1,39.77712211,-86.14578215
CA,San Francisco,San Francisco,667000,805235,5.2,7.8,4.5,4,9.9,8.9,37.75591366,-122.4409879
TX,Austin,Austin,4805000,790390,4.3,8.3,3.9,4,11.4,9.4,30.30686103,-97.75547712
OH,Columbus,Columbus,3918000,787033,5.1,10.1,5.3,6.8,14.6,12,39.98595005,-82.98517385
TX,Fort Worth,Dallas,4827000,741206,4.9,9.6,5.4,5.9,13,12.7,32.7801928,-97.34703232
NC,Charlotte,Charlotte,3712000,731424,5,8.6,4.8,5.2,11.9,10.3,35.2078722,-80.83007546
MI,Detroit,Detroit,2622000,713777,5.8,14,8.5,11.3,18,19.3,42.38470156,-83.10531788
TN,Memphis,Memphis,4748000,646889,5.2,11.7,6.7,8.9,15.9,16.5,35.1046295,-89.97890609
MD,Baltimore,Baltimore,2404000,620961,5.5,12.3,6.4,7.2,13.9,12.3,39.3084524,-76.61604923
MA,Boston,Boston,2507000,617594,4.5,11.4,4.6,5.1,13.9,10.5,42.31557968,-71.09165058
WA,Seattle,Seattle,5363000,608660,5.5,8.9,4.2,4,10,8.6,47.62215434,-122.3235325
DC,Washington,Washington,1150000,601723,4.8,10.1,4.3,5.1,11,9,38.90992414,-77.01472057
