ID,Lat_Metro,Lon_Metro,Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
793,41.07998585,-81.49865296,Akron ,10.30400062,10.3007915,238681.9117,2275947.321,1945188.944,1742962.7,1539446.485,18.20776,15.15792,11.50314,11.8445,10.57929993
196,35.12903763,-106.629162,Albuquerque ,10.68446422,11.74142146,685933.7471,4360883.874,3720008.117,3800903.991,3259877.555,8.652916,8.211202,6.974018,6.863455,10.98079967
820,40.70159673,-80.28930264,Aliquippa ,10.53756833,10.50594521,55815.09656,773241.2981,1168197.953,1436630.587,1225229.793,18.4268,15.2014,11.96494,12.4277,10.32960033
913,40.63786583,-75.4101489,Allentown-Bethlehem ,10.60561085,10.79755092,465504.4421,3208084.196,3069514.738,3337062.732,3210219.936,16.4446,13.48724,10.715188,10.886645,7.854040146
260,35.18505829,-101.8644514,Amarillo ,14.21828938,15.45939684,163844.6382,452641.0587,397976.2403,424404.8335,392055.0586,8.61922,7.171698,6.126652,6.33744,5.781720161
481,42.02793996,-93.63106975,Ames ,9.429380178,9.599559784,53702.68432,179696.8797,167281.3527,177903.176,155829.7671,14.30538,11.87084,9.771628,10.510405,6.746399879
183,61.19923392,-149.8314747,Anchorage ,2.076172382,2.990822196,123089.786,377977.8228,334426.3583,382393.3222,349161.7627,5.862218,5.384438,4.634226,8.12634,9.129659653
764,42.23505105,-83.61530057,Ann Arbor ,10.10732865,10.1181035,67985.37723,266343.6369,284871.0264,276771.4028,219090.7003,18.18144,14.12564,11.52178,12.10735,8.423080444
763,42.26373717,-83.75394402,Ann Arbor ,10.10732865,10.1181035,81129.28285,533882.3893,459656.2697,489124.0491,419080.6823,17.76348,13.68856,11.23904,11.9247,7.615210056
26,37.98543292,-121.7975158,Antioch ,13.94401574,15.12280512,268055.6356,917483.2782,1520793.539,1767998.945,1314719.257,14.57472,11.20332,10.920336,12.25195,7.754580021
694,44.24510788,-88.40876539,Appleton ,7.357230783,7.758138061,199014.3697,1235087.369,1124278.491,1306775.883,1151153.472,14.29736,10.648656,9.28785,9.966655,7.346489906
559,33.84096954,-84.30090571,Atlanta ,17.14769793,17.22755289,1516952.499,12726624.75,12290679.71,14599934.15,12508803.31,19.79446,13.3116,10.70848,10.28025,18.74349976
918,39.32541544,-74.50015471,Atlantic ,13.0604043,13.40947008,65800.5787,142954.3006,129737.7288,140474.8002,118321.13,16.6073,13.02404,10.001302,9.61542,5.899370193
273,30.37163753,-97.73513149,Austin ,20.25407124,20.95482636,1063620.667,4417962.777,4107195.344,5003949.553,4174130.503,15.14392,10.114128,8.038374,8.593885,15.35470009
29,35.36381044,-119.0475354,Bakersfield ,17.97289371,19.10495472,533318.4537,3324191.095,3342471.181,3438174.395,2668842.282,16.6687,14.38446,12.76312,15.1119,4.478769779
880,39.31155264,-76.61148208,Baltimore ,13.35398746,13.17422318,1360858.298,15272624.37,13155469.29,11592406.32,9739341.257,19.01532,15.00314,11.72638,11.43635,6.844810009
448,35.18355843,-89.80999032,Bartlett ,16.53145075,16.69794965,145699.6191,381041.0169,345087.3786,482335.0083,439260.6968,16.80672,12.1371,10.17856,10.80425,17.65940094
397,30.43326952,-91.10127215,Baton Rouge ,20.25940323,20.75579023,270758.8464,7692179.905,11039201.13,10239254.39,5451820.644,18.20844,13.25904,10.246752,10.63165,23.91959953
