State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat_rough,Lon_rough
AK,Anchorage,203000,"291,826",5.1,9.3,4.5,5,11.4,10.6,61,-149
WA,Spokane,5367000,"208,916",6.7,11,6.4,7.6,13.9,13.5,48,-117
WA,Seattle,5363000,"608,660",5.5,8.9,4.2,4,10,8.6,48,-122
WA,Tacoma,5370000,"198,397",6.1,10.6,5.9,6.5,13.7,13.1,47,-122
WA,Vancouver,5374060,"161,791",6.4,10.2,5.9,6.6,13.1,12.8,46,-123
OR,Portland,4159000,"583,776",5.8,9.5,4.9,5.1,12.1,10.1,46,-123
MN,Minneapolis,2743000,"382,578",4.6,8.5,4,3.9,10.9,8.8,45,-93
MN,St. Paul,2758000,"285,068",5,8.5,4.7,4.4,11.3,10.2,45,-93
OR,Salem,4164900,"154,637",6.5,10.4,6.2,6.8,14.2,13,45,-123
OR,Eugene,4123850,"156,185",6.3,10.3,5.6,6.2,13.5,11.5,44,-123
ID,Boise City,1608830,"205,671",6,9.1,5.1,5,12.1,10.2,44,-116
SD,Sioux Falls,4659020,"153,888",6.2,7.9,5.6,5.3,10.4,9.9,44,-97
NY,Rochester,3663000,"210,565",5.2,12.6,6.2,8.1,16.4,15.5,43,-78
WI,Madison,5548000,"233,209",5.1,8.8,4.2,4.2,11.7,9,43,-89
WI,Milwaukee,5553000,"594,833",5,11,5.8,6.6,15.4,14,43,-88
NY,Syracuse,3673000,"145,170",5.2,12.8,6.4,8.5,15.9,14.8,43,-76
MI,Grand Rapids,2634000,"188,040",5.8,11,6,7.5,14,13.5,43,-86
NY,Buffalo,3611000,"261,310",5.8,12.7,7.1,8.5,15.5,15.8,43,-79
MI,Sterling Heights,2676460,"129,699",7.5,10.6,7.1,8.4,13.5,13.9,43,-83
MI,Warren,2684000,"134,056",7.6,11.4,8,9.9,15.3,16,42,-83
MI,Detroit,2622000,"713,777",5.8,14,8.5,11.3,18,19.3,42,-83
MA,Boston,2507000,"617,594",4.5,11.4,4.6,5.1,13.9,10.5,42,-71
MA,Worcester,2582000,"181,045",5.7,11.4,6,6.7,14.6,12.9,42,-72
IL,Rockford,1765000,"152,871",6.7,10.4,7.4,8.2,13.8,15.2,42,-89
MA,Springfield,2567000,"153,060",5.5,12.7,7.4,8.2,17.1,16.5,42,-73
IA,Cedar Rapids,1912000,"126,326",6.6,8.1,5.8,5.4,11.1,9.9,42,-92
IL,Chicago,1714000,"2,695,598",5,9.9,5.3,5.8,12.2,12.4,42,-88
RI,Providence,4459000,"178,042",4.6,12.6,5.5,6.8,16.4,14.1,42,-71
CT,Hartford,937000,"124,775",4.4,12.5,6.1,7,15.7,15.4,42,-73
IL,Aurora,1703012,"197,899",4.5,9.2,4.8,5.3,12.3,12.3,42,-88
IL,Naperville,1751622,"141,853",5.9,8.1,4.2,4,8.6,8.7,42,-88
OH,Toledo,3977000,"287,208",6,11.1,7.8,9.4,15.9,15.2,42,-84
IA,Des Moines,1921000,"203,433",5.9,8.6,6,6.1,12.6,11.7,42,-94
IL,Joliet,1738570,"147,433",5.2,9.7,5.3,6.1,12.5,12.7,42,-88
OH,Cleveland,3916000,"396,815",5.7,11.8,8.4,10.5,16.5,17.5,41,-82
CT,New Haven,952000,"129,779",4.7,11.2,4.8,6.3,14.3,12.2,41,-73
NE,Omaha,3137000,"408,958",5.8,8.6,5.7,6,11.1,10.8,41,-96
CT,Bridgeport,908000,"144,229",5,10.4,5.7,6.1,14.4,14.1,41,-73
IN,Fort Wayne,1825000,"253,691",6.2,10.9,6.9,7.5,13.4,13.5,41,-85
OH,Akron,3901000,"199,110",6.1,11.1,7.6,9.5,15.6,15.2,41,-82
NY,Yonkers,3684000,"195,976",6.2,10.7,6.2,6.5,12,13,41,-74
NJ,Paterson,3457000,"146,199",4.3,9.9,6.6,7.7,15.7,16.9,41,-74
NE,Lincoln,3128000,"258,379",5.7,8.3,4.7,4.8,10.7,8.7,41,-97
UT,Salt Lake City,4967000,"186,440",4.9,8.9,4.2,4.1,12.2,10.1,41,-112
NJ,Newark,3451000,"277,140",4.2,10.8,6.4,7.6,15.8,16.7,41,-74
NJ,Jersey City,3436000,"247,597",4.3,8.3,4.7,5.3,11.7,11.7,41,-74
NY,New York,3651000,"8,175,133",5.3,10.5,5.6,5.9,12.3,12.2,41,-74
UT,West Valley City,4983470,"129,480",4.5,9.6,4.6,5.1,14.3,12.3,41,-112
NJ,Elizabeth,3421000,"124,969",4.6,8.9,6.2,7,14.6,15.8,41,-74
CO,Fort Collins,827425,"143,986",5,9.1,3.7,4.1,11.4,9.1,41,-105
PA,Pittsburgh,4261000,"305,704",5.8,10.7,5.9,6.5,13.5,12,40,-80
PA,Philadelphia,4260000,"1,526,006",5.4,11.6,6.3,7,15.3,14.6,40,-75
OH,Columbus,3918000,"787,033",5.1,10.1,5.3,6.8,14.6,12,40,-83
OH,Dayton,3921000,"141,527",5.8,11.6,8,10.6,17.1,17,40,-84
IN,Indianapolis,1836003,"820,445",5.7,10.9,6.4,7.4,14.1,13.1,40,-86
CO,Denver,820000,"600,158",5.3,8.8,4.3,4.2,11.4,10.3,40,-105
CO,Aurora,804000,"325,078",5.1,9.2,4.7,5.1,12.1,10.9,40,-105
CO,Lakewood,843000,"142,980",6.8,9,5.5,5,10.7,10.8,40,-105
NV,Reno,3260600,"225,221",5.8,8.9,6,6.3,14.8,13.6,40,-120
MD,Baltimore,2404000,"620,961",5.5,12.3,6.4,7.2,13.9,12.3,39,-77
OH,Cincinnati,3915000,"296,943",5.5,10.9,6.4,7.9,15,13.7,39,-85
MO,Kansas City,2938000,"459,787",5.7,10.3,6,7.3,14,13.8,39,-95
KS,Kansas City,2036000,"145,786",5.5,10.7,6.8,7.9,13.6,13.6,39,-95
KS,Topeka,2071000,"127,473",6.7,10.1,6.7,7.2,12.6,12.2,39,-96
DC,Washington,1150000,"601,723",4.8,10.1,4.3,5.1,11,9,39,-77
KS,Overland Park,2053775,"173,372",6.5,8.3,4.7,4.2,8.4,7.5,39,-95
KS,Olathe,2052575,"125,872",5.2,8.7,4.1,4.3,9.7,8,39,-95
CO,Colorado Springs,816000,"416,427",6.1,9.5,5,5,11.6,11.2,39,-105
VA,Alexandria,5101000,"139,966",5.1,8.1,3.8,3.9,10,8.5,39,-77
MO,St. Louis,2965000,"319,294",5.5,11.4,6.4,7.8,15.5,15.4,39,-90
CA,Sacramento,664000,"466,488",5.2,9.9,5.4,5.9,13.2,12.7,39,-121
CA,Santa Rosa,670098,"167,815",6.6,9.2,5.4,5.8,12.4,11.6,38,-123
CA,Elk Grove,622020,"153,015",5.1,9,4.3,4.5,11,10.1,38,-121
KY,Louisville,2148006,"597,337",6.7,12.3,8.1,9.4,14.3,14.3,38,-86
KY,Lexington,2146027,"295,803",5.6,11.3,6.3,7.8,13.3,13,38,-84
CA,Stockton,675000,"291,707",4.9,9.5,6.1,6.5,14.4,14.4,38,-121
CA,Oakland,653000,"390,724",5.1,9.8,5,5.2,12.4,12,38,-122
CA,San Francisco,667000,"805,235",5.2,7.8,4.5,4,9.9,8.9,38,-122
KS,Wichita,2079000,"382,368",6.2,9.7,6.5,6.6,12.2,11.8,38,-97
CA,Modesto,648354,"201,165",6,9.5,6.3,6.7,13.8,13.6,38,-121
CA,Hayward,633000,"144,186",4.8,8.8,4.7,4.7,11.8,11.1,38,-122
