Country,CPI Score 2018
Afghanistan,16
Albania,36
Algeria,35
Angola,19
Argentina,40
Armenia,35
Australia,77
Austria,76
Azerbaijan,25
Bahamas,65
Bahrain,36
Bangladesh,26
Barbados,68
Belarus,44
Belgium,75
Benin,40
Bhutan,68
Bolivia,29
Bosnia and Herzegovina,38
Botswana,61
Brazil,35
Brunei Darussalam,63
Bulgaria,42
Burkina Faso,41
Burundi,17
Cabo Verde,57
Cambodia,20
Cameroon,25
Canada,81
Central African Republic,26
Chad,19
Chile,67
China,39
Colombia,36
Comoros,27
Congo,19
Costa Rica,56
Cote d'Ivoire,35
Croatia,48
Cuba,47
Cyprus,59
Czech Republic,59
Democratic Republic of the Congo,20
Denmark,88
Djibouti,31
Dominica,57
Dominican Republic,30
Ecuador,34
Egypt,35
El Salvador,35
Equatorial Guinea,16
Eritrea,24
Estonia,73
Ethiopia,34
Finland,85
France,72
Gabon,31
Gambia,37
Georgia,58
Germany,80
Ghana,41
Greece,45
Grenada,52
Guatemala,27
Guinea,28
Guinea Bissau,16
Guyana,37
Haiti,20
Honduras,29
Hong Kong,76
Hungary,46
Iceland,76
India,41
Indonesia,38
Iran,28
Iraq,18
Ireland,73
Israel,61
Italy,52
Jamaica,44
Japan,73
Jordan,49
Kazakhstan,31
Kenya,27
North Korea,14
South Korea,57
Kosovo,37
Kuwait,41
Kyrgyzstan,29
Laos,29
Latvia,58
Lebanon,28
Lesotho,41
Liberia,32
Libya,17
Lithuania,59
Luxembourg,81
Macedonia,37
Madagascar,25
Malawi,32
Malaysia,47
Maldives,31
Mali,32
Malta,54
Mauritania,27
Mauritius,51
Mexico,28
Moldova,33
Mongolia,37
Montenegro,45
Morocco,43
Mozambique,23
Myanmar,29
Namibia,53
Nepal,31
Netherlands,82
New Zealand,87
Nicaragua,25
Niger,34
Nigeria,27
Norway,84
Oman,52
Pakistan,33
Panama,37
Papua New Guinea,28
Paraguay,29
Peru,35
Philippines,36
Poland,60
Portugal,64
Qatar,62
Romania,47
Russia,28
Rwanda,56
Saint Lucia,55
Saint Vincent and the Grenadines,58
Sao Tome and Principe,46
Saudi Arabia,49
Senegal,45
Serbia,39
Seychelles,66
Sierra Leone,30
Singapore,85
Slovakia,50
Slovenia,60
Solomon Islands,44
Somalia,10
South Africa,43
South Sudan,13
Spain,58
Sri Lanka,38
Sudan,16
Suriname,43
Swaziland,38
Sweden,85
Switzerland,85
Syria,13
Taiwan,63
Tajikistan,25
Tanzania,36
Thailand,36
Timor-Leste,35
Togo,30
Trinidad and Tobago,41
Tunisia,43
Turkey,41
Turkmenistan,20
Uganda,26
Ukraine,32
United Arab Emirates,70
United Kingdom,80
United States,71
Uruguay,70
Uzbekistan,23
Vanuatu,46
Venezuela,18
Vietnam,33
Yemen,14
Zambia,35
Zimbabwe,22
