ID,Lat,Lon,Country,CTR-ISO,Continent,Region,City,Avg Temp 1990,Avg Temp 2014,Population 2015, GDP 1990 , GDP 2000 , GDP 2015 ,UN Income Cat,UN Dev Group,Green Index 1990,Green Index 2000,Green Index 2014,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
12080,22.63353449,113.997383,China,CHN,Asia,Eastern Asia,"Guangzhou, Guangdong ",22.8226161,22.92160892,40589878.10,33730125824.00,63016669184.00,291848847360.00,UMIC,LDC,5,5,5,41.1386,51.6229,43.25422,37.3452,7.173870087
12298,31.41580071,120.5734952,China,CHN,Asia,Eastern Asia,"Suzhou, Jiangsu ",16.18136692,16.54887915,8625178.96,9214858240.00,25722882048.00,136188772352.00,UMIC,LDC,3,3,3,60.03386,64.73844,64.28554,68.8689,10.09259987
12072,32.01271314,118.8093005,China,CHN,Asia,Eastern Asia,"Nanjing, Jiangsu ",15.46701217,15.92041945,5385671.75,5064487936.00,14137287680.00,81119731712.00,UMIC,LDC,1,1,1,57.81312,62.3421,63.46588,68.2579,5.935739994
10479,34.25887419,108.917579,China,CHN,Asia,Eastern Asia,"Xi'an, Shaanxi ",12.98523831,13.832057,5071323.75,3249614336.00,6649678336.00,38368952320.00,UMIC,LDC,1,1,1,53.41238,58.0157,60.42044,65.769,4.876870155
9938,23.14673164,90.80556542,Bangladesh,BGD,Asia,South-Central Asia,Comilla ,25.79500484,25.32587385,6167651.99,7147100160.00,7119489536.00,13438428160.00,LMIC,LDCL,0.51345359,0.587491988,0.606318043,47.74314,55.07414,59.15434,64.51075,22.15029907
12394,-7.686059976,110.5984055,Indonesia,IDN,Asia,South-Eastern Asia,Surakarta ,26.77045822,27.27855301,5098559.84,11939487744.00,15235058688.00,25522116608.00,LMIC,LDC,0.427678061,0.505523635,0.545649611,26.02732,18.36548,14.11124,15.94065,14.53919983
10035,22.43879885,91.82426299,Bangladesh,BGD,Asia,South-Central Asia,Chittagong ,25.92511845,25.4365983,5293804.07,8405386752.00,9244166144.00,20816113664.00,LMIC,LDCL,0.500587963,0.526611804,0.541315006,33.90958,38.77088,41.61628,46.05245,15.61590004
8835,6.929655209,79.94323377,Sri Lanka,LKA,Asia,South-Central Asia,Colombo ,27.48868608,27.86745548,4303602.51,16947011584.00,29627666432.00,61608456192.00,LMIC,LDC,0.46324973,0.488958834,0.520426609,14.3703,12.75042,11.09288,10.73376,6.320300102
945,40.77321423,-73.88090455,United States,USA,Northern America,Northern America,New York-Newark ,12.63459301,13.03097224,15950674.29,465835425792.00,556301418496.00,675538075648.00,HIC,MDR,0.45811765,0.493705226,0.493904612,16.08942,12.9189,10.247822,10.5604,7.389339924
9691,22.52488411,88.29249552,India,IND,Asia,South-Central Asia,Kolkata (Calcutta) ,27.0896678,26.68915653,21620289.28,26963568640.00,39710650368.00,88069259264.00,LMIC,LDC,0.404951601,0.454496219,0.493526524,44.16862,41.45986,41.34306,43.94965,3.168410063
9872,23.80705214,90.40166345,Bangladesh,BGD,Asia,South-Central Asia,Dhaka ,25.85586691,25.43533039,23942350.03,5876643328.00,33622099968.00,98739888128.00,LMIC,LDCL,0.466439312,0.501488353,0.490158285,53.66092,61.22106,65.60854,71.41215,12.63529968
10248,16.86997966,96.148838,Myanmar,MMR,Asia,South-Eastern Asia,Yangon ,27.5870142,28.039639,5686185.44,1610974592.00,2649883648.00,20513220608.00,LMIC,LDCL,0.413335687,0.47849741,0.481815045,23.0752,25.21062,23.74812,28.05145,18.08670044
634,41.79396274,-87.82253727,United States,USA,Northern America,Northern America,Chicago ,10.22556663,10.44071722,6779775.29,177295572992.00,219961327616.00,239863332864.00,HIC,MDR,0.417259229,0.463449665,0.476855091,18.36028,13.42546,11.93376,12.54255,5.792150021
315,29.78137075,-95.40836967,United States,USA,Northern America,Northern America,Houston ,20.69648314,21.19856071,4873719.74,88514289664.00,115735863296.00,180287569920.00,HIC,MDR,0.451953314,0.477690719,0.475320015,17.06226,11.71976,8.876372,9.49125,51.10409927
3675,55.73855188,37.64862463,Russia,RUS,Europe,Eastern Europe,Moskva (Moscow) ,6.308054447,6.598886132,14077364.36,152861655040.00,162203533312.00,288908312576.00,UMIC,MDR,0.429315712,0.463991013,0.468642646,20.2232,20.83702,22.35188,20.521,52.59830093
875,43.65246768,-79.53381024,Canada,CAN,Northern America,Northern America,Toronto ,7.438784599,7.692582607,6036145.78,104517083136.00,123711258624.00,167142490112.00,HIC,MDR,0.415075013,0.432782319,0.45165131,13.80706,11.516264,9.286934,9.7813,10.1942997
1912,51.49357981,-0.129891877,United Kingdom,GBR,Europe,Northern Europe,London ,10.16654754,10.4355135,9609627.23,133417000960.00,177130209280.00,258777661440.00,HIC,MDR,0.376380787,0.438670113,0.44924361,15.95202,14.87696,13.63802,13.4527,11.45110035
2046,48.83990462,2.322010194,France,FRA,Europe,Western Europe,Paris ,12.27211571,12.71531081,9711652.26,235545247744.00,269160169472.00,332856197120.00,HIC,MDR,0.281790068,0.409340008,0.433802557,17.54232,16.9829,16.15378,15.7556,19.59950066
556,26.17958738,-80.2108039,United States,USA,Northern America,Northern America,Miami ,24.69581079,25.10877228,5406570.29,135101923328.00,160018628608.00,210265964544.00,HIC,MDR,0.367007982,0.399004205,0.430632245,11.560144,8.569354,6.611058,6.806995,12.73760033
323,32.8573485,-96.96526227,United States,USA,Northern America,Northern America,Dallas-Fort Worth ,18.48534775,19.27159834,5165561.23,93432774656.00,122166812672.00,184654872576.00,HIC,MDR,0.389659952,0.430091473,0.429346067,15.81682,11.4509,9.357422,10.3632,11.64579964
12610,-7.628561821,112.6697063,Indonesia,IDN,Asia,South-Eastern Asia,Surabaya ,25.61547518,26.09047031,8352589.50,23282397184.00,33788250112.00,67299065856.00,LMIC,LDC,NAN,0.383578369,0.425959807,21.96226,16.6174,13.31426,14.52875,20.33679962
10692,3.60476028,98.65144864,Indonesia,IDN,Asia,South-Eastern Asia,Medan ,27.36765957,27.89841938,3956182.70,11605045248.00,15956849664.00,31030489088.00,LMIC,LDC,0.485895399,0.456842249,0.418350864,25.79186,25.5391,21.3784,24.54945,3.425960064
12044,-6.941582418,107.6430998,Indonesia,IDN,Asia,South-Eastern Asia,Bandung ,25.39208412,25.9232626,8181546.41,18963150848.00,23277203456.00,53894647808.00,LMIC,LDC,0.42809709,0.42237876,0.405495272,26.8775,19.78458,14.639,17.19705,9.513310432
3396,59.92075415,30.33491092,Russia,RUS,Europe,Eastern Europe,Saint Petersburg,6.115870714,6.467553616,4300867.49,32194074624.00,22326407168.00,45282021376.00,UMIC,MDR,0.353450748,0.414024403,0.399474081,13.0357,12.50972,12.74438,10.7673,10.7524004
