,State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pulminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index,Poverty Rate 2009-2013,Economic Rank
0,NM,Albuquerque,3502000,545852,5.8,10.4,5.6,5.5,12.6,12.9,35.10550258,-106.6474477,35.12903763,-106.629162,10.68446422,11.74142146,685933.7471,4360883.874,3720008.117,3800903.991,3259877.555,8.652916,8.211202,6.974018,6.863455,10.98079967,0.179,125
1,AK,Anchorage,203000,291826,5.1,9.3,4.5,5,11.4,10.6,61.14986873,-149.1111134,61.19923392,-149.8314747,2.076172382,2.990822196,123089.786,377977.8228,334426.3583,382393.3222,349161.7627,5.862218,5.384438,4.634226,8.12634,9.129659653,0.079,197
2,GA,Atlanta,1304000,420003,4.8,9,5,5.7,12.2,11.1,33.76265247,-84.42314191,33.84096954,-84.30090571,17.14769793,17.22755289,1516952.499,12726624.75,12290679.71,14599934.15,12508803.31,19.79446,13.3116,10.70848,10.28025,18.74349976,0.25,17
3,TX,Austin,4805000,790390,4.3,8.3,3.9,4,11.4,9.4,30.30686103,-97.75547712,30.37163753,-97.73513149,20.25407124,20.95482636,1063620.667,4417962.777,4107195.344,5003949.553,4174130.503,15.14392,10.114128,8.038374,8.593885,15.35470009,0.191,3
4,CA,Bakersfield,603526,347483,5,9.5,5.4,6.1,14,13.1,35.35133029,-119.029786,35.36381044,-119.0475354,17.97289371,19.10495472,533318.4537,3324191.095,3342471.181,3438174.395,2668842.282,16.6687,14.38446,12.76312,15.1119,4.478769779,0.204,162
5,MD,Baltimore,2404000,620961,5.5,12.3,6.4,7.2,13.9,12.3,39.3084524,-76.61604923,39.31155264,-76.61148208,13.35398746,13.17422318,1360858.298,15272624.37,13155469.29,11592406.32,9739341.257,19.01532,15.00314,11.72638,11.43635,6.844810009,0.238,109
6,LA,Baton Rouge,2205000,229493,5.2,9.4,6.4,6.8,14,12.8,30.45108917,-91.1263552,30.43326952,-91.10127215,20.25940323,20.75579023,270758.8464,7692179.905,11039201.13,10239254.39,5451820.644,18.20844,13.25904,10.246752,10.63165,23.91959953,0.254,145
7,AL,Birmingham,107000,212237,5.6,10.5,7.5,8.8,15.2,16.3,33.52756638,-86.79881747,33.50902518,-86.82365065,17.06690979,17.49764442,196387.767,2202561.192,1989846.723,1714411.25,1858031.765,19.38254,13.8868,10.625714,10.3269,20.21800041,0,165
8,MA,Boston,2507000,617594,4.5,11.4,4.6,5.1,13.9,10.5,42.31557968,-71.09165058,42.38499617,-71.06303941,10.30256605,10.7555151,2063274.183,24637639.3,22116676.64,23176358.33,21858037.97,12.76518,10.7339,8.771842,9.085375,4.048449993,0.214,48
9,NY,Buffalo,3611000,261310,5.8,12.7,7.1,8.5,15.5,15.8,42.90145182,-78.84752373,42.9237412,-78.81130882,8.794063807,9.090383291,615835.9218,9772111.324,9625372.489,9312949.12,5282788.675,14.9821,12.28924,9.591696,10.30295,10.84090042,0.307,143
10,NC,Charlotte,3712000,731424,5,8.6,4.8,5.2,11.9,10.3,35.2078722,-80.83007546,35.19478888,-80.8479022,16.35830283,16.56829786,370497.0553,4222924.545,5095555.587,6037405.883,4228945.445,19.05508,13.12654,10.58084,9.521135,5.680620193,0.171,13
11,IL,Chicago,1714000,2695598,5,9.9,5.3,5.8,12.2,12.4,41.83729506,-87.68623087,41.79396274,-87.82253727,10.22556663,10.44071722,6779775.294,93164678.42,82876182.34,82311959.48,65460184.72,18.36028,13.42546,11.93376,12.54255,5.792150021,0.226,132
12,OH,Cincinnati,3915000,296943,5.5,10.9,6.4,7.9,15,13.7,39.14117471,-84.50600045,39.2369108,-84.46200196,12.19838429,12.43175149,764046.6174,8606238.899,6774873.093,6306984.372,5309938.138,18.77534,14.68338,12.3019,12.8798,10.49839973,0.304,131
13,OH,Cleveland,3916000,396815,5.7,11.8,8.4,10.5,16.5,17.5,41.47653458,-81.68054949,41.47505094,-81.64622338,10.21175623,10.2801578,1188874.549,17115431.48,16285626.96,15637508.08,12382651.71,19.54878,15.95676,12.60308,12.686,11.08679962,0.354,167
14,CO,Colorado Springs,816000,416427,6.1,9.5,5,5,11.6,11.2,38.86727481,-104.7606645,38.86368844,-104.7760317,9.605670691,10.36757088,396290.1245,2994216.926,3243011.994,3837953.618,2082876.774,10.177216,8.937694,7.857632,7.739915,15.91709995,0.137,58
15,OH,Columbus,3918000,787033,5.1,10.1,5.3,6.8,14.6,12,39.98595005,-82.98517385,40.0147868,-82.99973942,10.57155752,10.69221854,1138151.475,10302875.09,8884251.532,8780882.242,7403380.315,18.55958,15.61564,12.61064,13.06525,9.595950127,0.224,99
16,TX,Corpus Christi,4817000,305215,5.4,8.6,6.5,6,12.2,14.1,27.72915883,-97.40190954,27.74286947,-97.40416723,22.38120365,22.89654064,225223.0592,1258590.356,1203833.367,1215517.998,980750.4275,13.320098,8.644316,6.791826,7.35278,14.9744997,0.182,188
17,TX,Dallas,4819000,1197816,4.8,9.4,5.6,5.8,13.2,12.8,32.79398041,-96.76569295,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964,0.238,5
18,CO,Denver,820000,600158,5.3,8.8,4.3,4.2,11.4,10.3,39.76202837,-104.8763653,39.72837393,-104.9803877,9.310184956,9.789418697,2229499.864,19655770.26,18002360.87,20523139.84,17372973.02,10.3554,9.475478,8.72413,8.753875,13.40799999,0.191,24
19,MI,Detroit,2622000,713777,5.8,14,8.5,11.3,18,19.3,42.38470156,-83.10531788,42.43812719,-83.15206612,9.990496159,10.01090527,3288131.603,59077336.49,47463848.27,45154481.84,36342871.16,18.2572,14.09286,11.81886,12.3398,8.886159897,0.393,121
20,NC,Durham,3719000,228330,4.8,8.8,4.8,5.3,12.7,10.8,35.98091474,-78.90591611,35.99882543,-78.90339529,15.82902646,16.0485177,60840.37531,133445.8045,117909.17,139065.7182,128493.9645,17.48002,13.24502,10.435724,9.24631,6.735589981,0.2,77
